Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C16        TAN-A                 1735mil       2219mil       1735mil       2219mil       1735mil       2274mil  T         90.00 4.7uF          
C18        TAN-A                  848mil       1712mil        848mil       1712mil        793mil       1712mil  T        180.00 10uF           
C17        TAN-B                  173mil       1651mil        173mil       1651mil    234.024mil       1651mil  T        360.00 10uF(25V)      
C3         0603C                 1240mil       2558mil       1240mil       2558mil   1271.496mil       2558mil  T        180.00 100nF          
C13        0603C                 1058mil       2184mil       1058mil       2184mil       1058mil   2152.504mil  T         90.00 100nF          
C12        0603C                  890mil       2184mil        890mil       2184mil        890mil   2152.504mil  T         90.00 100nF          
C1         0603C                  784mil       2716mil        784mil       2716mil        784mil   2747.496mil  T        270.00 100nF          
C8         0603C                 1696mil       2377mil       1696mil       2377mil       1696mil   2345.504mil  T         90.00 100nF          
C15        0603C                 1596mil       2221mil       1596mil       2221mil       1596mil   2189.504mil  T         90.00 10nF_X7R_0603  
C10        0603C                 1438mil       2168mil       1438mil       2168mil   1406.504mil       2168mil  T        360.00 100nF          
C9         0603C                 1755mil       2377mil       1755mil       2377mil       1755mil   2408.496mil  T        270.00 1uF_X5R_0603   
C14        0603C                 1537mil       2221mil       1537mil       2221mil       1537mil   2189.504mil  T         90.00 1uF_X5R_0603   
C2         0603C                  901mil       2716mil        901mil       2716mil        901mil   2747.496mil  T        270.00 100nF          
C5         0603C                  517mil       2508mil        517mil       2508mil    548.496mil       2508mil  T        180.00 10pF           
C6         0603C                  517mil       2432mil        517mil       2432mil    548.496mil       2432mil  T        180.00 10pF           
X1         OSC_2SM_3R2x2R5        642mil       2470mil        642mil       2470mil        642mil   2432.598mil  T         90.00 NX3225GD-8.000M-EXS00A-CG04874
R53        0603R                  790mil       -937mil        790mil       -937mil    821.496mil       -937mil  T        180.00 50             
R43        0603R                 1032mil       -447mil       1032mil       -447mil       1032mil   -415.504mil  T        270.00 10K            
C49        0603C                  899mil      -1145mil        899mil      -1145mil        899mil  -1113.504mil  T        270.00 100nF          
